country,barcode,product_name,brand,sugar_content_per_100g
italy,5449000005151,Sprite,The Coca-Cola Company,1.9
italy,1004262770007,Vintersaga (yulmust),IKEA,8.3
italy,8001120926685,Limonata,Coop,5.2
italy,80148272,Tonica Superfine,Tassoni,7.6
italy,8032919465030,Il nostro chinotto,Lurisia,14.3
italy,80145455,Lemon soda la limonata solo da limoni italiani,Freedea,13.0
italy,8057192000709,Limonata Italiana,Terme di Crodo,12.0
italy,8002270646560,San Pellegrino Chino' ML,San Pellegrino,10.0
italy,5000112610079,Coca-Cola Zero,Coca-Cola,0.0
italy,8018161007037,Limonata alla menta bio,Achillea,11.0
italy,3560070577491,Saveur agrum' zero,Carrefour,0.5
italy,5449000241375,Fanta original,Fanta,4.72
italy,8057192000600,Ginger beer,Terme di Crodo,12.5
italy,8014396003257,Zero limone,Schweppes,0.2
italy,40907000,Coca Cola,Coca Cola,10.6
italy,5000112556247,Coca Cola Zero,Coca-Cola,0.0
italy,8002270416583,SAN PELLEGRINO Bois pétil jus d'orange et de figue de Barbarie 6x33cl,San Pellegrino,8.3
italy,8014396002458,Schweppes Limone,Schweppes,11.4
italy,8001120926654,Aranciata,Coop,6.7
italy,8017596008145,Blues Cola,Eurospin,11.0
italy,8024370018894,vito,Penny,11.0
italy,8057192001522,Oran soda,Terme di Crodo,9.5
italy,8018005208316,Aranciata rossa,Polara,13.2
italy,8019730025834,Cola zero,MD,0.0
italy,8003170074095,Coca cola senza zuccheri,Conad,0.0
italy,8025916104095,Aranciata zero,Todis,2.5
italy,8018005440099,Mandarino al limone,Polara,1.5
italy,8057192001034,Lemonsoda,Terme di Crodo,12.0
italy,8012666506316,Bergamotto,Terre d'Italia,14.0
italy,8017596068415,Cola,Eurospin,11.0
italy,8057192002703,Lemonsoda Energy Activator - Lemon,Terme di Crodo,12.0
italy,8018005208422,Mandarino Verde di Sicilia,Polara,15.199999809265
italy,0200030236596,Hyldeblomstsmag og brus El,,0.0
italy,8018005301062,frizz cola,Frizz,1.13
italy,9009700310618,bio limonade,Vöslauer,43.0
italy,8018005720832,Limone e zenzero di Sicilia,Polara,8.5
italy,8018005974754,Cola con estratto di Noci di Cola,,10.1
italy,8018005005564,fruit the,Polara,2.0
italy,8003100802743,Gassosa,Selex,9.9
